pass,rut_mm_seco,rut_mm_umido,delta_rut_mm_umido_menos_seco,c_superf_seco,c_superf_umido,delta_c_superf_umido_menos_seco
1,8.709432769407393,10.965604470222996,2.256171700815603,0.3696355518052613,0.4368322154806328,0.06719666367537147
2,11.922799884486052,14.400249968438828,2.4774500839527764,0.5465696537895375,0.6345825395988334,0.0880128858092959
3,13.271266415469714,15.771171726954131,2.499905311484417,0.6415151044767312,0.7289308651231377,0.08741576064640644
4,13.929945417701264,16.453279526767698,2.5233341090664343,0.7011277762415432,0.7833080048825241,0.08218022864098085
5,14.25541206210489,16.81342190819447,2.558009846089581,0.7423559758425171,0.8184878062644616,0.07613183042194449
6,14.399760443061902,16.99923080867764,2.5994703656157387,0.7727273552517601,0.8430056923829553,0.07027833713119525
7,14.440082262673796,17.083652075704055,2.6435698130302594,0.7961171072536714,0.8610035677237676,0.06488646047009627
8,14.440082262673796,17.10712153366998,2.6670392709961828,0.814732431653144,0.8747302075927089,0.0599977759395649
9,14.440082262673796,17.10712153366998,2.6670392709961828,0.8299270462683471,0.8855101325926452,0.05558308632429809
10,14.440082262673796,17.10712153366998,2.6670392709961828,0.8425796250043276,0.8941733636862379,0.051593738681910306
11,14.440082262673796,17.10712153366998,2.6670392709961828,0.8532866797013566,0.9012660845194332,0.04797940481807661
12,14.440082262673796,17.10712153366998,2.6670392709961828,0.8624682116396589,0.9071622074526748,0.04469399581301592
13,14.440082262673796,17.10712153366998,2.6670392709961828,0.8704290267520037,0.912126223529599,0.04169719677759531
14,14.440082262673796,17.10712153366998,2.6670392709961828,0.8773960511425213,0.9163504457153216,0.038954394572800366
15,14.440082262673796,17.10712153366998,2.6670392709961828,0.8835419619395953,0.919978030449579,0.03643606850998371
16,14.440082262673796,17.10712153366998,2.6670392709961828,0.8890006664792064,0.9231177274063316,0.03411706092712519
17,14.440082262673796,17.10712153366998,2.6670392709961828,0.893877741188943,0.925853625208766,0.03197588401982299
18,14.440082262673796,17.10712153366998,2.6670392709961828,0.8982576519384675,0.9282517655469108,0.029994113608443285
19,14.440082262673796,17.10712153366998,2.6670392709961828,0.9022088605409676,0.9303647387179508,0.028155878176983173
20,14.440082262673796,17.10712153366998,2.6670392709961828,0.905787508111021,0.9322349437486362,0.026447435637615202
21,14.440082262673796,17.10712153366998,2.6670392709961828,0.9090401189893714,0.933896944442898,0.02485682545352652
22,14.440082262673796,17.10712153366998,2.6670392709961828,0.9120056172219226,0.9353792006352252,0.023373583413302534
23,14.440082262673796,17.10712153366998,2.6670392709961828,0.9147168519273418,0.9367053595891308,0.02198850766178906
24,14.440082262673796,17.10712153366998,2.6670392709961828,0.9172017661613528,0.9378952325135824,0.020693466352229573
25,14.440082262673796,17.10712153366998,2.6670392709961828,0.9194843032056133,0.9389655422110028,0.01948123900538956
26,14.440082262673796,17.10712153366998,2.6670392709961828,0.9215851168821394,0.9399305020523492,0.018345385170209783
27,14.440082262673796,17.10712153366998,2.6670392709961828,0.9235221338149244,0.9408022690534014,0.017280135238476935
28,14.440082262673796,17.10712153366998,2.6670392709961828,0.92531100258691,0.9415913018749492,0.0162802992880392
29,14.440082262673796,17.10712153366998,2.6670392709961828,0.9269654555968968,0.9423066462452044,0.015341190648307634
30,14.440082262673796,17.10712153366998,2.6670392709961828,0.928497602888958,0.9429561644229582,0.014458561534000158
